Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose
"PARKS, FORESTRY & RECREATION"	2812-18	2013-12-30	2013-12-31	STAPLES #228	55.70	CAD	55.70	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P08146	AMESBURY CC-SOCIAL PRGM	5943	"Office, School Supply, and Stationery St"	"GLUESTIC, MARKERS, DRY ERASE, REPORT COVERS"
					"1,117.60"	CAD	"1,117.60"	CAD							
ECONOMIC DEVELOPMENT & CULTURE	2773-52	2013-11-29	2013-12-02	RCSS SCARBOROUGH #2809	122.72	CAD	122.72	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0099	HS-MH-PUBLIC/COMMUNITY-SCAR MUSEU	5411	"Grocery Stores, Supermarkets"	"CHEESE, OIL, SHORTENING, BUTTER, APPLE JUICE, MILK"
ECONOMIC DEVELOPMENT & CULTURE	2781-34	2013-12-04	2013-12-06	FOOD BASICS #653	12.20	CAD	12.20	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0099	HS-MH-PUBLIC/COMMUNITY-SCAR MUSEU	5411	"Grocery Stores, Supermarkets"	"CHEESE CLOTH, BAKING CUPS"
ECONOMIC DEVELOPMENT & CULTURE	2781-35	2013-12-05	2013-12-06	RCSS SCARBOROUGH #2809	174.18	CAD	174.18	CAD	*****	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0099	HS-MH-PUBLIC/COMMUNITY-SCAR MUSEU	5411	"Grocery Stores, Supermarkets"	"CHEESE, FRUITS, BAKING SODA, MILK, WHITE CUPS"
ECONOMIC DEVELOPMENT & CULTURE	2785-61	2013-12-06	2013-12-09	WAL-MART #3635	30.05	CAD	30.05	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0099	HS-MH-PUBLIC/COMMUNITY-SCAR MUSEU	5310	Discount Stores	"BINGO, WAX PAPER, PICTURE FRAME"
ECONOMIC DEVELOPMENT & CULTURE	2789-27	2013-12-09	2013-12-11	WAL-MART #3635	18.66	CAD	18.66	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0099	HS-MH-PUBLIC/COMMUNITY-SCAR MUSEU	5310	Discount Stores	"PINESOL, SPONGE"
ECONOMIC DEVELOPMENT & CULTURE	2791-34	2013-12-11	2013-12-12	RCSS SCARBOROUGH #2809	96.90	CAD	96.90	CAD	*****	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0099	HS-MH-PUBLIC/COMMUNITY-SCAR MUSEU	5411	"Grocery Stores, Supermarkets"	"JUICE, FRUITS, CHESTNUTS, SANDWICH BAGS"
ECONOMIC DEVELOPMENT & CULTURE	2793-27	2013-12-11	2013-12-13	METRO #35	39.91	CAD	39.91	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0099	HS-MH-PUBLIC/COMMUNITY-SCAR MUSEU	5411	"Grocery Stores, Supermarkets"	"EGG NOG, WHIPPING CREAM, MILK, PLUMS"
ECONOMIC DEVELOPMENT & CULTURE	2793-28	2013-12-11	2013-12-13	METRO #35	180.00	CAD	180.00	CAD	4118	TICKETS AND ADMISSION FEES	AH0099	HS-MH-PUBLIC/COMMUNITY-SCAR MUSEU	5411	"Grocery Stores, Supermarkets"	TTC TICKETS
ECONOMIC DEVELOPMENT & CULTURE	2795-62	2013-12-12	2013-12-16	FOOD BASICS #653	7.32	CAD	7.32	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0099	HS-MH-PUBLIC/COMMUNITY-SCAR MUSEU	5411	"Grocery Stores, Supermarkets"	MILK
ECONOMIC DEVELOPMENT & CULTURE	2795-63	2013-12-12	2013-12-16	GNS PARTY RENTALS	197.96	CAD	197.96	CAD	4520	RENTAL OF MACHINERY AND EQUIPMENT	AH0099	HS-MH-PUBLIC/COMMUNITY-SCAR MUSEU	5970	"Artist Supply Stores, Craft Shops"	DISH RENTAL
ECONOMIC DEVELOPMENT & CULTURE	2795-64	2013-12-13	2013-12-16	WAL-MART #3635	32.45	CAD	32.45	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0099	HS-MH-PUBLIC/COMMUNITY-SCAR MUSEU	5310	Discount Stores	"LAMP OIL, UTILITY MAT"
ECONOMIC DEVELOPMENT & CULTURE	2800-27	2013-12-17	2013-12-19	FOOD BASICS #653	58.57	CAD	58.57	CAD	*****	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0099	HS-MH-PUBLIC/COMMUNITY-SCAR MUSEU	5411	"Grocery Stores, Supermarkets"	"EGGS, JUICE, PITA, BREAD, CHEESE, SELECT CHEWY"
ECONOMIC DEVELOPMENT & CULTURE	2801-33	2013-12-18	2013-12-20	WAL-MART # 3111	41.56	CAD	41.56	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0099	HS-MH-PUBLIC/COMMUNITY-SCAR MUSEU	5411	"Grocery Stores, Supermarkets"	"GLUE GUN, PIPE CLEANERS, FELT, GLYCERIN"
ECONOMIC DEVELOPMENT & CULTURE	2806-24	2013-12-20	2013-12-24	FOOD BASICS #653	18.05	CAD	18.05	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0099	HS-MH-PUBLIC/COMMUNITY-SCAR MUSEU	5411	"Grocery Stores, Supermarkets"	"HOT CHOCOLATE, PITA BREAK"
ECONOMIC DEVELOPMENT & CULTURE	2810-18	2013-12-27	2013-12-30	RCSS SCARBOROUGH #2809	71.07	CAD	71.07	CAD	*****	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0099	HS-MH-PUBLIC/COMMUNITY-SCAR MUSEU	5411	"Grocery Stores, Supermarkets"	"SHORTENING, FLOUR, COCOA, MARSHMALLOW, TOOTHPICKS"
					"1,101.60"	CAD	"1,101.60"	CAD							
ECONOMIC DEVELOPMENT & CULTURE	2793-29	2013-12-11	2013-12-13	AIR CAN  0142128661364	14.00	CAD	14.00	CAD	4215	BUSINESS TRAV - AIR TRANSPORTATION	ED0142	TFTDMO MKT & TRADE	3009	Air Canada	"AIRFARE - IN FLIGHT MEAL - LOS ANGELES, CA"
ECONOMIC DEVELOPMENT & CULTURE	2793-30	2013-12-11	2013-12-13	AIR CAN  0142128661364	717.46	CAD	717.46	CAD	4215	BUSINESS TRAV - AIR TRANSPORTATION	ED0142	TFTDMO MKT & TRADE	3009	Air Canada	"AIRFARE - LOS ANGELES, CA"
					731.46	CAD	731.46	CAD							
TORONTO WATER	2773-53	2013-11-29	2013-12-02	ACKLANDS-GRAINGER INC	34.94	CAD	34.94	CAD	2082	HEALTH & SAFETY SUPPLIES	TW7075	WTR TREAT & SUPPLY: SYSTEM CONTROL	5085	Industrial Supplies Not Elsewhere Classi	EYE WASH SOLUTION
TORONTO WATER	2774-23	2013-11-29	2013-12-03	CDN TIRE STORE #00209	3.38	CAD	3.38	CAD	2401	LUBRICANTS	TW7075	WTR TREAT & SUPPLY: SYSTEM CONTROL	5200	Home Supply Warehouse	OIL
TORONTO WATER	2776-36	2013-12-03	2013-12-04	ACKLANDS-GRAINGER INC	37.22	CAD	37.22	CAD	2710	GENERAL HARDWARE	TW7075	WTR TREAT & SUPPLY: SYSTEM CONTROL	5085	Industrial Supplies Not Elsewhere Classi	IMPACT BARS
TORONTO WATER	2785-62	2013-12-05	2013-12-09	CDN TIRE STORE #00030	212.60	CAD	212.60	CAD	3080	M & E - HAND TOOLS	TW7075	WTR TREAT & SUPPLY: SYSTEM CONTROL	5200	Home Supply Warehouse	TOOLS FOR TRUCK
TORONTO WATER	2791-35	2013-12-11	2013-12-12	STINSON EQUIPMENT LIMI	55.57	CAD	55.57	CAD	3099	GENERAL EQUIPMENT	TW7075	WTR TREAT & SUPPLY: SYSTEM CONTROL	5039	Construction Materials Not Elsewhere Cla	SIGN CROSS RIBS
TORONTO WATER	2793-31	2013-12-12	2013-12-13	ACKLANDS-GRAINGER INC	137.10	CAD	137.10	CAD	2710	GENERAL HARDWARE	TW7075	WTR TREAT & SUPPLY: SYSTEM CONTROL	5085	Industrial Supplies Not Elsewhere Classi	EAR PLUGS PJS
TORONTO WATER	2796-20	2013-12-13	2013-12-17	CDN TIRE STORE #00654	32.19	CAD	32.19	CAD	2710	GENERAL HARDWARE	TW7075	WTR TREAT & SUPPLY: SYSTEM CONTROL	5200	Home Supply Warehouse	IMPACT SET
TORONTO WATER	2798-45	2013-12-16	2013-12-18	CDN TIRE STORE #00209	7.39	CAD	7.39	CAD	2710	GENERAL HARDWARE	TW7075	WTR TREAT & SUPPLY: SYSTEM CONTROL	5200	Home Supply Warehouse	CLAMPS
					520.39	CAD	520.39	CAD							
"PARKS, FORESTRY & RECREATION"	2774-24	2013-11-29	2013-12-03	CDN TIRE STORE #00019	11.27	CAD	11.27	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P07647	HUMBER VALLEY-OPERATIONS	5200	Home Supply Warehouse	DIGITAL CALIPER
					11.27	CAD	11.27	CAD							
TORONTO WATER	2781-36	2013-12-04	2013-12-06	CDN TIRE STORE #00070	61.00	CAD	61.00	CAD	2260	GASOLINE	TW4075	WW TREATMNT:  HUMBER TP - WORK AREA 2  L	5200	Home Supply Warehouse	KEROSENE FUEL
					61.00	CAD	61.00	CAD							
"PARKS, FORESTRY & RECREATION"	2776-37	2013-12-02	2013-12-04	SKIIS   BIKES	-45.19	CAD	-45.19	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10915	CENTENNIAL SKI CTR-SKI RENTALS	5941	Sporting Goods Stores	REFUND - RIGLET REEL FOR SNOWBOARD
					-45.19	CAD	-45.19	CAD							
FIRE SERVICES	2791-36	2013-12-11	2013-12-12	PARKING PPL	15.00	CAD	15.00	CAD	4770	PARKING EXPENSES (INTOWN)	FR0012	ADMIN-HEADQUARTERS	7523	Automobile Parking Lots and Garages	PARKING
FIRE SERVICES	2795-65	2013-12-13	2013-12-16	THE FAX ENGINEER	107.35	CAD	107.35	CAD	2040	"PHOTOCOPY, FAX AND PRINTER SUPPLIES"	FR0012	ADMIN-HEADQUARTERS	5999	Miscellaneous and Specialty Retail Store	REPAIR FAX MACHINE - DRUM UNIT REPLACEMENT
					122.35	CAD	122.35	CAD							
"SHELTER, SUPPORT & HOUSING ADMINISTRATION"	2787-25	2013-12-09	2013-12-10	DARMAR MANUFACTURING L	151.51	CAD	151.51	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	F01530	BIRKDAEL RES CHILDREN'S PROG EXP	5231	"Glass, Paint, Wallpaper Stores"	CERAMIC MUGS FOR TEACHERS-PARTNERSHIP APPRECIATION
"SHELTER, SUPPORT & HOUSING ADMINISTRATION"	2789-28	2013-12-10	2013-12-11	HAMILTON THEATRICAL SU	175.15	CAD	175.15	CAD	4590	RENTAL - OTHER	F01523	BIRKDALE RES - PROPERTY SERVICES	7296	"Clothing Rental - Costumes, Uniforms and"	CLIENT HOLIDAY PARTY SANTA SUIT RENTAL
"SHELTER, SUPPORT & HOUSING ADMINISTRATION"	2791-37	2013-12-11	2013-12-12	YOUR FRIEND WITH A CUB	226.00	CAD	226.00	CAD	4510	RENTAL OF VEHICLES AND EQUIPMENT	F01530	BIRKDAEL RES CHILDREN'S PROG EXP	7399	Business Services - Not Elsewhere Classi	CLIENT CHRISTMAS PARTY FOOD PICK UP SERVICE
"SHELTER, SUPPORT & HOUSING ADMINISTRATION"	2791-38	2013-12-12	2013-12-12	RIPLEYS AQUARIUM	338.32	CAD	338.32	CAD	4118	TICKETS AND ADMISSION FEES	F01530	BIRKDAEL RES CHILDREN'S PROG EXP	7998	"Aquariums, Dolphinariums, Seaquariums"	CLIENT 30 CHILDREN ADMISSIONS TO VENUE FOR CP
					890.98	CAD	890.98	CAD							
"PARKS, FORESTRY & RECREATION"	2780-35	2013-12-03	2013-12-05	TARGET CANADA T3609	145.62	CAD	145.62	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11355	DRIFTWOOD-PRGM SUPPORT	5310	Discount Stores	RECREATION SUPPLIES
"PARKS, FORESTRY & RECREATION"	2780-36	2013-12-03	2013-12-05	WAL-MART # 5831	30.79	CAD	30.79	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06049	DRIFTWOOD-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"ALMONDS, TOTES"
"PARKS, FORESTRY & RECREATION"	2791-39	2013-12-11	2013-12-12	MASTERMIND	243.29	CAD	243.29	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11355	DRIFTWOOD-PRGM SUPPORT	5945	"Game, Toy, and Hobby Shops"	RECREATION SUPPLIES
"PARKS, FORESTRY & RECREATION"	2795-66	2013-12-13	2013-12-16	PARTY CITY #2801	16.94	CAD	16.94	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06049	DRIFTWOOD-SOCIAL PRGM	5999	Miscellaneous and Specialty Retail Store	RECREATION SUPPLIES
"PARKS, FORESTRY & RECREATION"	2810-19	2013-12-27	2013-12-30	NOFRILLS VINCE'S #3930	209.08	CAD	209.08	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11355	DRIFTWOOD-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES
"PARKS, FORESTRY & RECREATION"	2810-20	2013-12-28	2013-12-30	NOFRILLS VINCE'S #3930	20.88	CAD	20.88	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11355	DRIFTWOOD-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES
					666.60	CAD	666.60	CAD							
"PARKS, FORESTRY & RECREATION"	2806-25	2013-12-23	2013-12-24	ROTBLOTTS DISCOUNT WHS	22.58	CAD	22.58	CAD	2665	PROTECTIVE CLOTHING	P01191	S-CENTRAL AIRS-OPERATIONS	5251	Hardware Stores	WORK GLOVES
					22.58	CAD	22.58	CAD							
"PARKS, FORESTRY & RECREATION"	2776-38	2013-12-02	2013-12-04	METRO #704	27.37	CAD	27.37	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13071	GEN INTRST & CLUBS - ST MARCELLUS CS	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR COOKING CLASS
					27.37	CAD	27.37	CAD							
"PARKS, FORESTRY & RECREATION"	2810-21	2013-12-27	2013-12-30	STAPLES #11	90.17	CAD	90.17	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	NP3230	2013 ICE STORM	5943	"Office, School Supply, and Stationery St"	MAP BOOK
"PARKS, FORESTRY & RECREATION"	2810-22	2013-12-27	2013-12-30	STAPLES #12	112.72	CAD	112.72	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	NP3230	2013 ICE STORM	5943	"Office, School Supply, and Stationery St"	MAP BOOK
"PARKS, FORESTRY & RECREATION"	2810-23	2013-12-27	2013-12-30	STAPLES #228	112.72	CAD	112.72	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	NP3230	2013 ICE STORM	5943	"Office, School Supply, and Stationery St"	MAP BOOK
"PARKS, FORESTRY & RECREATION"	2810-24	2013-12-27	2013-12-30	STAPLES 450	112.72	CAD	112.72	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	NP3230	2013 ICE STORM	5943	"Office, School Supply, and Stationery St"	MAP BOOK
"PARKS, FORESTRY & RECREATION"	2812-19	2013-12-27	2013-12-31	CDN TIRE STORE #00126	338.15	CAD	338.15	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	NP3230	2013 ICE STORM	5200	Home Supply Warehouse	MAP BOOK
"PARKS, FORESTRY & RECREATION"	2812-20	2013-12-27	2013-12-31	CDN TIRE STORE #00294	202.89	CAD	202.89	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	NP3230	2013 ICE STORM	5200	Home Supply Warehouse	MAP BOOK
"PARKS, FORESTRY & RECREATION"	2812-21	2013-12-27	2013-12-31	HOTWIRE COMMUNICATION	79.10	CAD	79.10	CAD	3020	M & E - COMMUNICATIONS	NP3230	2013 ICE STORM	4899	Cable and Other Pay Television Services	CELL PHONE BATTERIES
"PARKS, FORESTRY & RECREATION"	2812-22	2013-12-28	2013-12-31	CDN TIRE STORE #00192	53.97	CAD	53.97	CAD	2710	GENERAL HARDWARE	NP3230	2013 ICE STORM	5200	Home Supply Warehouse	ROPE
					"1,102.44"	CAD	"1,102.44"	CAD							
SOLID WASTE MANAGEMENT	2773-54	2013-11-30	2013-12-02	THE HOME DEPOT #7078	90.72	CAD	90.72	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	SW0011	MECHANICAL & ELECTRICAL-CONSTR & GRDS	5200	Home Supply Warehouse	**MORE**  PRMD CSG
SOLID WASTE MANAGEMENT	2787-26	2013-12-07	2013-12-10	STEPHENSON'S RENT-ALL	135.54	CAD	135.54	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	CSW358-11-08	BERMONDSEY T.S.	7394	"Equipment Rental and Leasing Services, F"	W/O-300982-2
SOLID WASTE MANAGEMENT	2796-21	2013-12-13	2013-12-17	G COOPER EQUIPMENT REN	50.85	CAD	50.85	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	CSW358-11-08	BERMONDSEY T.S.	5046	Commercial Equipment Not Elsewhere Class	W/O-300982-2
					277.11	CAD	277.11	CAD							
"PARKS, FORESTRY & RECREATION"	2776-39	2013-12-03	2013-12-04	BEACH VALUMART	5.00	CAD	5.00	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	BLUEBERRIES
"PARKS, FORESTRY & RECREATION"	2776-40	2013-12-03	2013-12-04	FRESHCO #9750      QPS	84.65	CAD	84.65	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P12102	BEACHES CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	"APPLES, BANANAS,GRAPES,EGGS,STRAWBERRIES,SALAMI"
"PARKS, FORESTRY & RECREATION"	2781-37	2013-12-05	2013-12-06	ONLINE TRAINING VUBIZ	145.77	CAD	145.77	CAD	4310	TRAINING & DEVELOPMENT - EXTERNAL	P10457	SH ARMSTRONG-PRGM SUPPORT	5734	Computer Software Stores	BOOKS FOR TRAINING
"PARKS, FORESTRY & RECREATION"	2789-29	2013-12-10	2013-12-11	STAPLES#159	53.39	CAD	53.39	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P06743	BEACHES CC-PRGM SUPPORT	5943	"Office, School Supply, and Stationery St"	LOG BOOK
					288.81	CAD	288.81	CAD							
ACCOUNTING SERVICES 	2808-20	2013-12-24	2013-12-27	EVERYDAY GOURMET COFFE	90.00	CAD	90.00	CAD	4820	BUSINESS MEETING EXPENSES	TR1000	TREASURER	5812	"Eating Places, Restaurants"	TREASURER'S OFFICE PLANNING DAY
					90.00	CAD	90.00	CAD							
"PARKS, FORESTRY & RECREATION"	2776-41	2013-12-03	2013-12-04	LOWES #02633*	44.86	CAD	44.86	CAD	2710	GENERAL HARDWARE	P00263	E-CENTRAL1-TURF&HORT	5200	Home Supply Warehouse	**MORE**  JH 12' ROYAL SAPPHIRE GARLAND
"PARKS, FORESTRY & RECREATION"	2776-42	2013-12-02	2013-12-04	THE HOME DEPOT #7001	17.92	CAD	17.92	CAD	2710	GENERAL HARDWARE	P00263	E-CENTRAL1-TURF&HORT	5200	Home Supply Warehouse	**MORE**  ORNAMENT
"PARKS, FORESTRY & RECREATION"	2776-43	2013-12-02	2013-12-04	THE HOME DEPOT #7001	16.92	CAD	16.92	CAD	2710	GENERAL HARDWARE	P00263	E-CENTRAL1-TURF&HORT	5200	Home Supply Warehouse	15FT TINSEL
					79.70	CAD	79.70	CAD							
"PARKS, FORESTRY & RECREATION"	2774-25	2013-11-29	2013-12-03	CDN TIRE STORE #00192	69.28	CAD	69.28	CAD	2710	GENERAL HARDWARE	P13472	NY - SPORTS FIELD MAINTENANCE	5200	Home Supply Warehouse	TARPS
"PARKS, FORESTRY & RECREATION"	2785-63	2013-12-06	2013-12-09	ROMA FENCE EAST INC	159.94	CAD	159.94	CAD	2710	GENERAL HARDWARE	P13472	NY - SPORTS FIELD MAINTENANCE	5211	"Building Materials, Lumber Stores"	ALUMINUM TIES
					229.22	CAD	229.22	CAD							
TORONTO WATER	2781-38	2013-12-05	2013-12-06	WESTBURNE RUDDY ELECTR	148.44	CAD	148.44	CAD	2575	ELECTRICAL SUPPLIES	TW4075	WW TREATMNT:  HUMBER TP - WORK AREA 2  L	5722	Household Appliance Stores	MANUAL STARTER
TORONTO WATER	2785-64	2013-12-05	2013-12-09	BILL'S ELECTRIC SALES	110.74	CAD	110.74	CAD	2575	ELECTRICAL SUPPLIES	TW4075	WW TREATMNT:  HUMBER TP - WORK AREA 2  L	5251	Hardware Stores	ROTOM FAN MOTOR
TORONTO WATER	2789-30	2013-12-10	2013-12-11	AUTOMATIONDIRECT.COM	308.59	CAD	284.00	USD	2575	ELECTRICAL SUPPLIES	TW4075	WW TREATMNT:  HUMBER TP - WORK AREA 2  L	5065	Electrical Parts and Equipment	RELAY OUT MICRO PLC
TORONTO WATER	2789-31	2013-12-10	2013-12-11	AUTOMATIONDIRECT.COM	40.12	CAD	36.92	USD	2575	ELECTRICAL SUPPLIES	TW4075	WW TREATMNT:  HUMBER TP - WORK AREA 2  L	5065	Electrical Parts and Equipment	RELAY OUT MICRO PLC
TORONTO WATER	2795-67	2013-12-12	2013-12-16	BUNNING SPLICING   RIG	248.15	CAD	248.15	CAD	2546	CANVAS & CORDAGE	TW4075	WW TREATMNT:  HUMBER TP - WORK AREA 2  L	5085	Industrial Supplies Not Elsewhere Classi	ROPE
					856.04	CAD	507.33	CAD							
							320.92	USD							
"PARKS, FORESTRY & RECREATION"	2776-44	2013-12-02	2013-12-04	WAL-MART #1081	19.27	CAD	19.27	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06781	HUMBERWOOD (BD)-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR JR. CHEFS & SCIENCE FUN
					19.27	CAD	19.27	CAD							
"PARKS, FORESTRY & RECREATION"	2776-45	2013-12-03	2013-12-04	DAVE AND CHARLOTTE'S N	136.28	CAD	136.28	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13217	SPECIAL EVENTS - FRANKLAD/WITHROW	5411	"Grocery Stores, Supermarkets"	FOOD SUPPLIES FOR BREAKFAST SPECIAL EVENT
"PARKS, FORESTRY & RECREATION"	2780-37	2013-12-03	2013-12-05	ABSOLUTE DOLLAR	48.59	CAD	48.59	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P11655	FRANKLAND-PRGM SUPPORT	5310	Discount Stores	
"PARKS, FORESTRY & RECREATION"	2781-39	2013-12-04	2013-12-06	WALMART #1150	60.42	CAD	60.42	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P11655	FRANKLAND-PRGM SUPPORT	5310	Discount Stores	
					245.29	CAD	245.29	CAD							
TORONTO WATER	2785-65	2013-12-06	2013-12-09	NO FRILL'S #1306	24.00	CAD	24.00	CAD	2401	LUBRICANTS	TW7050	WTR TREAT & SUPPLY: RL CLARK TP - SERV A	5411	"Grocery Stores, Supermarkets"	OIL FOR SED TANK
TORONTO WATER	2785-66	2013-12-06	2013-12-09	ACKLANDS-GRAINGER INC	76.43	CAD	76.43	CAD	2665	PROTECTIVE CLOTHING	TW7050	WTR TREAT & SUPPLY: RL CLARK TP - SERV A	5085	Industrial Supplies Not Elsewhere Classi	HARD HATS FOR PROTECTION
TORONTO WATER	2785-67	2013-12-06	2013-12-09	THE HOME DEPOT #7011	123.12	CAD	123.12	CAD	2710	GENERAL HARDWARE	TW7050	WTR TREAT & SUPPLY: RL CLARK TP - SERV A	5200	Home Supply Warehouse	**MORE**  ANCHOR
TORONTO WATER	2785-68	2013-12-06	2013-12-09	WIC-MISSISSAUGA #18	263.46	CAD	263.46	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	TW7050	WTR TREAT & SUPPLY: RL CLARK TP - SERV A	5085	Industrial Supplies Not Elsewhere Classi	BACKFLOW TESTING
TORONTO WATER	2793-32	2013-12-12	2013-12-13	KOTYCK BROS LIMITED	469.57	CAD	469.57	CAD	2535	PLUMBING SUPPLIES	TW7050	WTR TREAT & SUPPLY: RL CLARK TP - SERV A	1520	General Contractors - Residential and Co	COPPER FITTINGS
TORONTO WATER	2793-33	2013-12-12	2013-12-13	FASTENAL CANADA02ONTO1	86.06	CAD	86.06	CAD	2710	GENERAL HARDWARE	TW7050	WTR TREAT & SUPPLY: RL CLARK TP - SERV A	5085	Industrial Supplies Not Elsewhere Classi	BOLTS
TORONTO WATER	2795-68	2013-12-12	2013-12-16	BUNNING SPLICING   RIG	198.29	CAD	198.29	CAD	2120	PARTS - MACHINERY & EQUIPMENT	TW7050	WTR TREAT & SUPPLY: RL CLARK TP - SERV A	5085	Industrial Supplies Not Elsewhere Classi	RIGGING MATERIALS
TORONTO WATER	2795-69	2013-12-12	2013-12-16	JJ DOWNS INDUSTRIAL	230.29	CAD	230.29	CAD	2710	GENERAL HARDWARE	TW7050	WTR TREAT & SUPPLY: RL CLARK TP - SERV A	5085	Industrial Supplies Not Elsewhere Classi	JOSE CLAMPS
TORONTO WATER	2800-28	2013-12-18	2013-12-19	KOTYCK BROS LIMITED	350.22	CAD	350.22	CAD	2535	PLUMBING SUPPLIES	TW7050	WTR TREAT & SUPPLY: RL CLARK TP - SERV A	1520	General Contractors - Residential and Co	VALVES
TORONTO WATER	2806-26	2013-12-23	2013-12-24	FASTENAL CANADA02ONTO1	58.65	CAD	58.65	CAD	2710	GENERAL HARDWARE	TW7050	WTR TREAT & SUPPLY: RL CLARK TP - SERV A	5085	Industrial Supplies Not Elsewhere Classi	LOCK NUTS
TORONTO WATER	2806-27	2013-12-23	2013-12-24	FASTENAL CANADA02ONTO1	6.69	CAD	6.69	CAD	2710	GENERAL HARDWARE	TW7050	WTR TREAT & SUPPLY: RL CLARK TP - SERV A	5085	Industrial Supplies Not Elsewhere Classi	NUTS
					"1,886.78"	CAD	"1,886.78"	CAD							
"PARKS, FORESTRY & RECREATION"	2780-38	2013-12-03	2013-12-05	THE HOME DEPOT #7129	35.57	CAD	35.57	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00853	ALNESS YD-TRADES	5200	Home Supply Warehouse	**MORE**  LUFKIN POWER
"PARKS, FORESTRY & RECREATION"	2781-40	2013-12-04	2013-12-06	ANGELO'S ELECTRIC LTD	299.51	CAD	299.51	CAD	2710	GENERAL HARDWARE	P00853	ALNESS YD-TRADES	7629	"Appliance Repair Shops, Electrical and S"	"VARIOUS BITS,BLADES,ANCHORS,SCREWS,ANCHORS"
"PARKS, FORESTRY & RECREATION"	2800-29	2013-12-17	2013-12-19	THE HOME DEPOT #7078	50.81	CAD	50.81	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P00853	ALNESS YD-TRADES	5200	Home Supply Warehouse	**MORE**  PREM C.CEMNT
"PARKS, FORESTRY & RECREATION"	2804-38	2013-12-20	2013-12-23	CANADA GLASS   MIRROR	180.98	CAD	180.98	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P07696	ANTIBES CC-OPERATIONS	5039	Construction Materials Not Elsewhere Cla	CLEARWIRE GLASS
